year,name,sex,count
1880,Jonathan,M,18
1881,Jonathan,M,21
1882,Jonathan,M,27
1883,Jonathan,M,17
1884,Jonathan,M,21
1885,Jonathan,M,30
1886,Jonathan,M,19
1887,Jonathan,M,10
1888,Jonathan,M,17
1889,Jonathan,M,12
1890,Jonathan,M,16
1891,Jonathan,M,12
1892,Jonathan,M,13
1893,Jonathan,M,9
1894,Jonathan,M,16
1895,Jonathan,M,10
1896,Jonathan,M,18
1897,Jonathan,M,15
1898,Jonathan,M,13
1899,Jonathan,M,8
1900,Jonathan,M,11
1901,Jonathan,M,9
1902,Jonathan,M,22
1903,Jonathan,M,19
1904,Jonathan,M,14
1905,Jonathan,M,14
1906,Jonathan,M,12
1907,Jonathan,M,11
1908,Jonathan,M,12
1909,Jonathan,M,15
1910,Jonathan,M,19
1911,Jonathan,M,24
1912,Jonathan,M,48
1913,Jonathan,M,53
1914,Jonathan,M,77
1915,Jonathan,M,83
1916,Jonathan,M,100
1917,Jonathan,M,96
1918,Jonathan,M,83
1919,Jonathan,M,77
1920,Jonathan,M,111
1921,Jonathan,M,122
1922,Jonathan,M,117
1923,Jonathan,M,97
1924,Jonathan,M,97
1925,Jonathan,M,114
1926,Jonathan,M,106
1927,Jonathan,M,108
1928,Jonathan,M,115
1929,Jonathan,M,91
1930,Jonathan,M,103
1931,Jonathan,M,117
1932,Jonathan,M,118
1933,Jonathan,M,126
1934,Jonathan,M,133
1935,Jonathan,M,167
1936,Jonathan,M,172
1937,Jonathan,M,197
1938,Jonathan,M,235
1939,Jonathan,M,295
1940,Jonathan,M,276
1941,Jonathan,M,359
1942,Jonathan,M,553
1943,Jonathan,M,575
1944,Jonathan,M,639
1945,Jonathan,M,881
1946,Jonathan,M,1102
1947,Jonathan,M,1196
1948,Jonathan,M,1283
1949,Jonathan,M,1432
1950,Jonathan,M,1538
1951,Jonathan,M,1776
1952,Jonathan,M,2063
1953,Jonathan,M,2336
1954,Jonathan,M,2742
1955,Jonathan,M,3023
1956,Jonathan,M,3125
1957,Jonathan,M,3048
1958,Jonathan,M,3082
1959,Jonathan,M,3083
1960,Jonathan,M,3343
1961,Jonathan,M,3482
1962,Jonathan,M,4257
1963,Jonathan,M,4470
1964,Jonathan,M,4645
1965,Jonathan,M,4725
1966,Jonathan,M,4661
1967,Jonathan,M,4919
1968,Jonathan,M,5809
1969,Jonathan,M,7085
1970,Jonathan,M,8199
1971,Jonathan,M,8631
1972,Jonathan,M,9226
1973,Jonathan,M,10274
1974,Jonathan,M,10234
1975,Jonathan,M,10904
1976,Jonathan,M,11314
1977,Jonathan,M,12324
1978,Jonathan,M,12516
1979,Jonathan,M,14327
1980,Jonathan,M,18993
1981,Jonathan,M,22598
1982,Jonathan,M,23122
1983,Jonathan,M,22753
1984,Jonathan,M,23342
1985,Jonathan,M,24116
1986,Jonathan,M,23973
1987,Jonathan,M,23117
1988,Jonathan,M,24350
1989,Jonathan,M,23605
1990,Jonathan,M,24079
1991,Jonathan,M,22974
1992,Jonathan,M,21410
1993,Jonathan,M,19950
1994,Jonathan,M,19066
1995,Jonathan,M,18153
1996,Jonathan,M,18597
1997,Jonathan,M,18540
1998,Jonathan,M,17648
1999,Jonathan,M,17066
2000,Jonathan,M,16887
2001,Jonathan,M,16144
2002,Jonathan,M,15513
2003,Jonathan,M,14992
2004,Jonathan,M,14372
2005,Jonathan,M,14442
2006,Jonathan,M,14384
2007,Jonathan,M,13802
2008,Jonathan,M,12896
2009,Jonathan,M,11384
2010,Jonathan,M,11138
2011,Jonathan,M,10246
2012,Jonathan,M,9364
2013,Jonathan,M,8570
2014,Jonathan,M,8116
2015,Jonathan,M,7649
2016,Jonathan,M,6973
2017,Jonathan,M,6520
2018,Jonathan,M,5764
2019,Jonathan,M,5457
2020,Jonathan,M,4741
2021,Jonathan,M,4441
2022,Jonathan,M,4175
2023,Jonathan,M,4066
2024,Jonathan,M,4018
